ms,ax,ay,az,gx,gy,gz
5691570,-0.109619140625,0.9969482421875,-0.076416015625,4.57763671875,4.57763671875,0.0610351525247097
5691591,-0.1107177734375,1.010986328125,-0.0838623046875,5.493163585662842,4.82177734375,0
5691613,-0.11376953125,1.0224609375,-0.098388671875,6.896972179412842,4.45556640625,-0.1831054538488388
5691634,-0.11962890625,1.047119140625,-0.0997314453125,9.1552734375,3.784179449081421,-0.4882812201976776
5691655,-0.1226806640625,1.0850830078125,-0.090087890625,11.413573265075684,3.234863042831421,-1.5258787870407104
5691676,-0.115478515625,1.07763671875,-0.0836181640625,7.873534679412842,2.0751953125,-1.5869139432907104
5691696,-0.1219482421875,1.0347900390625,-0.095947265625,4.8828125,0.7934569716453552,0.6103515625
5691721,-0.128662109375,0.9986572265625,-0.1146240234375,3.845214605331421,-1.0986328125,4.0283203125
5691740,-0.1317138671875,0.9942626953125,-0.1136474609375,4.5166015625,-3.112792730331421,7.202147960662842
5691760,-0.138671875,1.0069580078125,-0.0941162109375,10.742186546325684,-4.0283203125,9.27734375
5691781,-0.13427734375,0.99072265625,-0.0863037109375,16.54052734375,-4.5166015625,10.498045921325684
5691807,-0.130859375,0.969970703125,-0.0662841796875,22.155759811401367,-6.164550304412842,13.977049827575684
5691828,-0.1341552734375,0.9632568359375,-0.032470703125,28.991697311401367,-6.225585460662842,16.90673828125
5691849,-0.137451171875,0.9757080078125,-0.0093994140625,34.60693359375,-5.249022960662842,19.47021484375
5691870,-0.138427734375,0.9814453125,0.0279541015625,37.29248046875,-3.906249761581421,21.240232467651367
5691891,-0.1400146484375,0.97705078125,0.0465087890625,39.55078125,-0.7934569716453552,22.216794967651367
5691917,-0.1331787109375,0.94287109375,0.0316162109375,47.119136810302734,0.2441406100988388,22.460935592651367
5691937,-0.1243896484375,0.9195556640625,0.0220947265625,51.879878997802734,-0.54931640625,23.803709030151367
5691958,-0.13232421875,0.923583984375,0.03369140625,52.856441497802734,-2.44140625,25.756834030151367
5691979,-0.1656494140625,0.9754638671875,0.077880859375,50.354000091552734,-3.723144292831421,25.939939498901367
5692004,-0.175537109375,1.0059814453125,0.077392578125,48.645015716552734,-4.2724609375,24.597166061401367
5692025,-0.1812744140625,1.0081787109375,0.0728759765625,44.860836029052734,-5.249022960662842,22.583005905151367
5692045,-0.182373046875,0.9783935546875,0.0654296875,42.846675872802734,-7.446288585662842,21.972654342651367
5692066,-0.1905517578125,0.965576171875,0.0855712890625,39.306640625,-10.742186546325684,22.399900436401367
5692092,-0.205078125,0.977783203125,0.099365234375,41.381832122802734,-13.916014671325684,21.545408248901367
5692108,-0.20361328125,1.0045166015625,0.094970703125,40.771480560302734,-15.380858421325684,20.874021530151367
5692129,-0.2164306640625,0.9847412109375,0.1160888671875,37.841796875,-18.5546875,18.73779296875
5692150,-0.2177734375,0.9810791015625,0.12841796875,45.166011810302734,-22.277830123901367,15.747069358825684
5692171,-0.2078857421875,0.9853515625,0.1077880859375,43.701168060302734,-26.245115280151367,14.404295921325684
5692197,-0.2059326171875,0.9434814453125,0.0950927734375,37.65869140625,-31.616209030151367,14.465331077575684
